Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1685999700000,1804.320000,1804.620000,1793.010000,1801.200000,8766.268800,1686000599999,15780128.308167,9014,3996.228100,7189696.096650,0
1686000600000,1801.190000,1803.500000,1797.000000,1800.000000,4750.049600,1686001499999,8546093.642511,5997,1922.374600,3459069.895584,0
1686001500000,1800.000000,1807.050000,1799.680000,1807.020000,2536.027200,1686002399999,4574523.077489,4989,1512.957100,2728369.918364,0
1686002400000,1807.010000,1807.630000,1804.910000,1805.780000,3082.674900,1686003299999,5567958.527891,4241,1156.789300,2089361.246939,0
1686003300000,1805.780000,1808.750000,1805.200000,1807.640000,2171.151600,1686004199999,3923317.179218,3564,1046.518700,1891111.807311,0
1686004200000,1807.630000,1809.770000,1807.430000,1809.760000,1703.926000,1686005099999,3081651.988980,3476,932.418100,1686332.050495,0
1686005100000,1809.760000,1809.800000,1806.000000,1807.170000,2100.933800,1686005999999,3797524.543732,3544,659.749500,1192495.641068,0
1686006000000,1807.180000,1809.660000,1806.550000,1809.120000,3387.598300,1686006899999,6124736.059579,4202,1793.226200,3241996.872129,0
1686006900000,1809.120000,1815.550000,1809.110000,1815.550000,3473.852100,1686007799999,6297296.858212,5074,2143.878100,3886696.951306,0
1686007800000,1815.550000,1815.880000,1812.770000,1814.540000,1900.101000,1686008699999,3446205.229368,3569,1046.890500,1898759.285927,0
1686008700000,1814.540000,1814.550000,1809.180000,1810.500000,8109.768900,1686009599999,14692050.850941,6009,1694.099800,3068235.171612,0
1685836800000,1892.050000,1892.310000,1890.030000,1891.760000,1548.053400,1685837699999,2928299.591893,2782,482.303900,912411.821735,0
1685837700000,1891.760000,1892.820000,1891.050000,1892.160000,855.700600,1685838599999,1618958.170898,2583,419.078400,792770.232281,0
1685838600000,1892.160000,1892.160000,1890.860000,1890.880000,823.785600,1685839499999,1558042.134791,2324,233.903100,442383.597483,0
1685839500000,1890.880000,1890.880000,1887.940000,1887.970000,791.537600,1685840399999,1495620.858803,2725,278.030300,525363.612021,0
1685840400000,1887.970000,1890.890000,1884.220000,1890.170000,2222.226700,1685841299999,4193771.916533,3944,1183.170500,2233089.482488,0
1685841300000,1890.160000,1892.900000,1890.040000,1891.820000,1172.615000,1685842199999,2218119.478571,2515,736.535800,1393193.064674,0
1685842200000,1891.820000,1892.600000,1890.160000,1890.580000,904.986900,1685843099999,1711708.933642,2137,349.359500,660762.519340,0
1685843100000,1890.580000,1891.240000,1889.510000,1890.390000,930.220100,1685843999999,1758564.556464,1944,538.704500,1018365.907925,0
1685844000000,1890.400000,1891.480000,1890.090000,1891.470000,597.312200,1685844899999,1129407.006731,1668,360.703500,682013.881272,0
1685844900000,1891.480000,1892.500000,1890.040000,1890.040000,662.826500,1685845799999,1253643.175017,1810,214.120300,405008.154230,0
1685845800000,1890.050000,1892.770000,1890.040000,1892.570000,913.178300,1685846699999,1727388.675635,2064,643.445000,1217033.688635,0
1685846700000,1892.570000,1895.030000,1892.130000,1894.570000,1660.327400,1685847599999,3144490.730440,2652,1013.417100,1919368.987193,0
1685847600000,1894.560000,1894.870000,1894.000000,1894.870000,1212.392600,1685848499999,2296543.206958,2160,514.102200,973821.328919,0
1685848500000,1894.860000,1894.870000,1892.730000,1892.740000,890.175000,1685849399999,1685275.737274,2023,287.851500,544904.343131,0
1685849400000,1892.730000,1894.650000,1892.610000,1894.650000,777.685100,1685850299999,1472472.564283,2080,491.731200,931004.960463,0
1685850300000,1894.650000,1894.690000,1893.820000,1894.090000,562.843600,1685851199999,1066160.703743,1745,252.968600,479179.794405,0
1685851200000,1894.090000,1895.000000,1894.080000,1894.880000,970.056700,1685852099999,1837467.239418,1874,402.071700,761620.159940,0
1685852100000,1894.880000,1896.140000,1894.500000,1894.510000,1212.332800,1685852999999,2297500.561364,2388,369.088300,699455.774103,0
1685853000000,1894.510000,1895.060000,1893.690000,1894.010000,949.196800,1685853899999,1798225.368542,2020,297.774900,564114.197593,0
1685853900000,1894.000000,1894.560000,1893.790000,1894.550000,443.400700,1685854799999,839854.746499,1661,332.997900,630742.593978,0
1685854800000,1894.560000,1894.560000,1893.790000,1894.040000,363.185400,1685855699999,687926.048767,1387,127.852100,242164.537360,0
1685855700000,1894.050000,1894.050000,1892.640000,1892.890000,794.727700,1685856599999,1504519.030242,1620,305.633900,578534.022216,0
1685856600000,1892.890000,1892.890000,1890.870000,1891.830000,817.635600,1685857499999,1546957.962185,1657,476.217800,900982.630104,0
1685857500000,1891.820000,1891.840000,1891.660000,1891.770000,383.073700,1685858399999,724694.327006,1446,135.748900,256804.843318,0
1685858400000,1891.760000,1894.610000,1891.080000,1894.250000,2106.085700,1685859299999,3985660.591264,2549,1547.768800,2928775.343677,0
1685859300000,1894.250000,1894.440000,1892.370000,1892.930000,582.632800,1685860199999,1103187.975106,2477,157.254800,297722.772883,0
1685860200000,1892.940000,1897.090000,1892.930000,1896.980000,1606.013500,1685861099999,3043512.002581,3627,1144.450900,2168635.944990,0
1685861100000,1896.980000,1901.360000,1896.970000,1898.330000,2319.334800,1685861999999,4404667.782639,4947,1359.641300,2581973.652467,0
1685862000000,1898.340000,1899.880000,1898.330000,1899.870000,1706.268000,1685862899999,3240594.461723,2630,621.598200,1180623.826875,0
1685862900000,1899.880000,1900.680000,1899.780000,1899.930000,1272.452600,1685863799999,2417752.758855,2723,680.712800,1293340.723335,0
1685863800000,1899.920000,1899.930000,1898.790000,1899.290000,1370.018500,1685864699999,2602211.644844,2644,505.469900,959984.254277,0
1685864700000,1899.290000,1900.810000,1899.240000,1900.210000,975.051800,1685865599999,1852517.424467,2432,640.138800,1216148.906065,0
1685865600000,1900.210000,1901.210000,1900.000000,1900.850000,1195.800500,1685866499999,2272804.252501,2881,481.721200,915563.760840,0
1685866500000,1900.840000,1901.580000,1900.000000,1900.000000,1294.458200,1685867399999,2459777.749236,2701,186.496700,354416.089027,0
1685867400000,1900.000000,1900.600000,1899.490000,1899.490000,1993.085600,1685868299999,3786982.614175,2938,479.383200,910875.220246,0
1685868300000,1899.490000,1899.500000,1898.610000,1899.270000,922.205900,1685869199999,1751398.918063,2847,476.556500,905015.971801,0
1685869200000,1899.260000,1904.000000,1899.260000,1903.860000,2808.520100,1685870099999,5342040.855995,4094,2018.479800,3839495.557474,0
1685870100000,1903.850000,1905.880000,1902.910000,1904.630000,2304.067800,1685870999999,4387675.945481,3660,1341.817900,2555116.317954,0
1685871000000,1904.640000,1908.610000,1904.270000,1906.250000,2702.475500,1685871899999,5152134.677533,5169,1284.252300,2448416.419161,0
1685871900000,1906.240000,1907.860000,1905.280000,1905.720000,1518.437300,1685872799999,2895025.787506,3057,766.094200,1460574.876183,0
1685872800000,1905.720000,1906.170000,1904.250000,1904.260000,1374.836600,1685873699999,2619094.299965,2626,383.537400,730654.392996,0
1685873700000,1904.260000,1904.550000,1903.490000,1904.500000,586.451300,1685874599999,1116643.500498,1970,290.416200,552987.509585,0
1685874600000,1904.490000,1905.330000,1904.000000,1904.420000,1089.687200,1685875499999,2075493.266488,2409,696.938000,1327378.643836,0
1685875500000,1904.420000,1905.660000,1904.190000,1905.000000,723.502600,1685876399999,1378304.524321,2122,405.753000,772953.072653,0
1685876400000,1904.990000,1905.500000,1904.240000,1905.480000,693.129200,1685877299999,1320253.812116,2126,424.065700,807739.686796,0
1685877300000,1905.490000,1905.490000,1904.110000,1904.120000,722.347300,1685878199999,1375772.024898,2021,291.528000,555248.926357,0
1685878200000,1904.110000,1904.290000,1902.300000,1902.530000,988.101100,1685879099999,1880867.848693,2615,369.995900,704257.789301,0
1685879100000,1902.540000,1903.340000,1902.520000,1903.080000,875.301900,1685879999999,1665573.660201,2492,531.336500,1011060.321209,0
1685880000000,1903.070000,1903.540000,1902.050000,1903.520000,1745.329400,1685880899999,3321148.348191,2686,658.546300,1253208.681257,0
1685880900000,1903.520000,1903.530000,1901.590000,1901.800000,890.619500,1685881799999,1694427.898956,2262,339.342200,645569.157173,0
1685881800000,1901.800000,1904.810000,1901.410000,1904.410000,1854.944300,1685882699999,3531061.311109,3023,980.050800,1865633.765772,0
1685882700000,1904.410000,1904.570000,1904.190000,1904.430000,899.098500,1685883599999,1712175.370408,2224,382.805900,728987.210877,0
1685883600000,1904.430000,1904.480000,1903.400000,1903.410000,1094.851000,1685884499999,2084569.451651,2407,272.776900,519330.688822,0
1685884500000,1903.410000,1906.210000,1903.060000,1904.510000,3271.903800,1685885399999,6231952.344714,3574,1944.560500,3703355.545857,0
1685885400000,1904.510000,1908.040000,1904.500000,1907.060000,3215.630800,1685886299999,6129726.570237,4406,2282.235700,4350274.306251,0
1685886300000,1907.050000,1914.630000,1906.780000,1907.510000,6679.746000,1685887199999,12756911.647215,8070,4262.593100,8140128.970268,0
1685887200000,1907.520000,1907.990000,1900.640000,1904.490000,4694.735800,1685888099999,8937343.064488,6498,2183.563800,4155316.146072,0
1685888100000,1904.490000,1905.990000,1901.610000,1901.620000,1348.562900,1685888999999,2567842.725720,3004,662.074200,1260809.637005,0
1685889000000,1901.620000,1904.910000,1900.000000,1904.430000,4960.777700,1685889899999,9433682.812641,4472,1871.965500,3561514.172068,0
1685889900000,1904.420000,1908.380000,1904.420000,1905.500000,2254.191400,1685890799999,4298191.702925,3651,1129.148300,2152904.979008,0
1685890800000,1905.510000,1906.310000,1902.670000,1902.670000,1333.348200,1685891699999,2539871.161075,2785,611.456200,1164792.094353,0
1685891700000,1902.680000,1904.800000,1902.650000,1904.790000,1161.223800,1685892599999,2210670.680666,2465,745.415200,1418981.474856,0
1685892600000,1904.790000,1905.810000,1903.500000,1903.760000,1900.118400,1685893499999,3618137.643980,2760,902.687500,1718807.539706,0
